Character,Pinyin,English
顶,ding3,"apex/crown of the head/top/roof/most/to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing, hailstorm etc)/(slang) to ""bump"" a forum thread to raise its profile/classifier for headwear, hats, veils etc"
燕,yan4,variant of 燕[yan4]
低,di1,low/beneath/to lower (one's head)/to let droop/to hang down/to incline
信,xin4,letter/mail/CL:封[feng1]/to trust/to believe/to profess faith in/truthful/confidence/trust/at will/at random
们,men,"plural marker for pronouns, and nouns referring to individuals"
要,yao4,to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important
南,nan2,south
方,fang1,"square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter"
时,shi2,o'clock/time/when/hour/season/period
候,hou4,to wait/to inquire after/to watch/season/climate/(old) period of five days
冬,dong1,(onom.) beating a drum/rat-a-tat
飘,piao1,to float (in the air); to flutter; to waft/complacent; frivolous/weak; shaky; wobbly
起,qi3,"to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/starting from (a time, place, price etc)/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group"
出,chu1,variant of 出[chu1] (classifier for plays or chapters of classical novels)
玩,wan2,variant of 玩[wan2]/Taiwan pr. [wan4]
跑,pao3,to run/to run away/to escape/to run around (on errands etc)/(of a gas or liquid) to leak or evaporate/(verb complement) away/off
留,liu2,old variant of 留[liu2]
印,yin4,to print/to mark/to engrave/a seal/a print/a stamp/a mark/a trace/image
对,dui4,right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair
这,zhe4,(coll.) this
是,shi4,variant of 是[shi4]
那,na4,(archaic) many/beautiful/how/old variant of 挪[nuo2]
梅,mei2,old variant of 梅[mei2]
竹,zhu2,"bamboo/CL:棵[ke1],支[zhi1],根[gen1]/Kangxi radical 118"
乌,wu1,crow/black
鸦,ya1,variant of 鴉|鸦[ya1]
喝,he1,to shout
渴,ke3,thirsty
处,chu4,"(bound form) place; locality/(bound form) part; aspect/(bound form) office; department; bureau/classifier for locations: spot, point"
找,zhao3,to try to find/to look for/to call on sb/to find/to seek/to return/to give change
瓶,ping2,variant of 瓶[ping2]
可,ke3,used in 可汗[ke4 han2]
高,gao1,high/tall/above average/loud/your (honorific)
着,zhe,to wear (clothes)/to contact/to use/to apply
怎,zen3,how
么,me,variant of 麼|么[me5]
办,ban4,to do/to manage/to handle/to go about/to run/to set up/to deal with
法,fa3,old variant of 法[fa3]/law
慢,man4,slow
升,sheng1,to ascend; to rise (variant of 升[sheng1])/to promote; to elevate (variant of 升[sheng1])
猴,hou2,monkey/CL:隻|只[zhi1]
又,you4,(once) again/also/both... and.../and yet/(used for emphasis) anyway
非,fei1,to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must
常,chang2,always/ever/often/frequently/common/general/constant
兴,xing1,feeling or desire to do sth/interest in sth/excitement
摘,zhai1,"to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc)/to select; to pick out/to borrow money at a time of urgent need"
往,wang3,old variant of 往[wang3]
拿,na2,to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object)
满,man3,to fill/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented
扔,reng1,to throw/to throw away
西,xi1,west
瓜,gua1,melon; gourd; squash/(slang) a piece of gossip
圆,yuan2,circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)
抱,bao4,to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely
回,hui2,variant of 迴|回[hui2]
兔,tu4,rabbit
蹦,beng4,to jump; to bounce; to hop
跳,tiao4,to jump/to hop/to skip over/to bounce/to palpitate
真,zhen1,really/truly/indeed/real/true/genuine
追,zhui1,to chase/to pursue/to look into/to investigate/to reminisce/to recall/to court (one's beloved)/to binge-watch (a TV drama)/retroactively/posthumously
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent"
林,lin2,(bound form) woods; forest/(bound form) circle(s) (i.e. specific group of people)/(bound form) a collection (of similar things)
空,kong1,to empty/vacant/unoccupied/space/leisure/free time
